Date,KOSDAQ,ECHOPRO_BM,HANA_METERIALS,SM_ENTER,JYP_ENTER,PERARLABYSS,SEOUL_SMC
2021-12-30,1033.98,123392,62800,74200,50700,138300,15400
2021-12-29,1028.05,123983,62300,74900,50300,135200,15100
2021-12-28,1027.44,129059,63600,78100,51400,140000,15400
2021-12-27,1011.36,122455,61200,74100,49200,131100,15100
2021-12-24,1007.42,123687,61100,72000,48850,126500,15000
2021-12-23,1003.31,125289,63000,70900,48700,124400,15050
2021-12-22,1000.13,125043,61600,73200,49650,125100,14400
2021-12-21,996.6,125116,62100,72100,49150,126000,14350
2021-12-20,990.51,123490,59100,70100,47000,123600,14050
2021-12-17,1001.26,125387,60700,71400,47650,120100,14350
2021-12-16,1007.86,126201,60700,71500,48450,124100,14500
2021-12-15,1003.52,126299,60900,71900,46700,119800,14400
2021-12-14,1002.81,125437,60500,73500,46850,119600,14400
2021-12-13,1005.96,126521,61200,75500,47200,123500,14550
2021-12-10,1011.57,127950,60600,76100,47650,124800,14500
2021-12-09,1022.87,134307,61800,74700,48650,131200,14600
2021-12-08,1006.04,131818,61000,73300,48250,122600,14800
2021-12-07,996.64,123761,63500,72500,48000,118100,15000
2021-12-06,991.87,124205,61000,70700,46500,119000,14900
2021-12-03,998.47,130094,60200,71800,47200,122000,14700
2021-12-02,977.43,122850,60300,64500,44350,115800,14500
2021-12-01,977.15,127580,59400,67300,45650,127700,14150
2021-11-30,965.63,133888,60100,67300,45400,131700,13650
2021-11-29,992.34,129083,61000,69800,47050,133200,14150
2021-11-26,1005.89,132902,60000,70000,47400,133000,14800
2021-11-25,1015.66,132065,60100,74200,49900,129400,15100
2021-11-24,1020.13,134726,62400,74300,50600,131700,15300
2021-11-23,1013.72,131818,61500,71400,49800,127900,15550
2021-11-22,1032.31,132804,61500,73600,50400,131200,15600
2021-11-19,1041.92,134652,58800,77200,51500,135000,15150
2021-11-18,1032.77,139826,54600,79300,54700,140200,14500
2021-11-17,1031.26,137929,54700,84000,55400,141000,14800
2021-11-16,1035.46,138101,53900,79900,54000,138500,15000
2021-11-15,1029.03,139087,54100,80400,53300,123500,15150
