Date,KOSPI,SAMSUNG,HYUNDAI_CAR,KIA,KORMAR,NAVER,KAKAO,THE_HYUNDAI
2021-12-30,2977.65,78300,209000,82200,40250,378500,112500,75100
2021-12-29,2993.29,78800,212000,83400,40950,382000,114000,75500
2021-12-28,3020.24,80300,214000,84500,41550,384500,113500,74700
2021-12-27,2999.55,80200,213500,84800,41100,380500,113000,74700
2021-12-24,3012.43,80500,215500,85100,41300,384000,114500,74600
2021-12-23,2998.17,79900,209000,84200,41100,378000,113000,74400
2021-12-22,2984.48,79400,206500,83900,40550,378500,114500,74300
2021-12-21,2975.03,78100,205000,83200,40500,375000,114500,73500
2021-12-20,2963.0,77100,205000,82900,40350,373000,113000,73600
2021-12-17,3017.73,78000,209500,84600,41050,384500,117500,74700
2021-12-16,3006.41,77800,209500,85700,41150,387500,119500,74600
2021-12-15,2989.39,77600,209000,84300,40800,387500,118500,75000
2021-12-14,2987.95,77000,211000,85300,41200,392000,118500,74700
2021-12-13,3001.66,76800,209000,86000,41250,390500,120000,75400
2021-12-10,3010.23,76900,207500,85400,41500,395000,122500,75200
2021-12-09,3029.57,78200,207000,84100,41550,399500,122500,74900
2021-12-08,3001.8,77400,207500,83200,40950,395000,121000,73500
2021-12-07,2991.72,77400,207500,83300,41150,391000,120500,73700
2021-12-06,2973.25,76300,206500,83900,40000,392000,121000,73200
2021-12-03,2968.33,75600,206000,82500,39700,402000,123500,72600
2021-12-02,2945.27,75800,205500,81600,39150,398500,122500,71200
2021-12-01,2899.72,74400,201000,81200,37500,390000,122500,68400
2021-11-30,2839.01,71300,195500,77800,37000,381000,122000,67100
2021-11-29,2909.32,72300,200500,79200,38350,386500,123000,68900
2021-11-26,2936.44,72300,205500,80600,39750,389500,125500,71500
2021-11-25,2980.27,73700,210000,82400,40350,397000,128000,73400
2021-11-24,2994.29,74800,212000,83400,40950,395000,124500,75700
2021-11-23,2997.33,75300,215000,83700,41350,400000,124500,75600
2021-11-22,3013.25,74900,218500,85700,41600,410000,128500,75600
2021-11-19,2971.02,71200,209500,83800,41350,404000,127000,76500
2021-11-18,2947.38,70200,205000,83100,41350,407000,124500,76500
2021-11-17,2962.42,70700,207000,84000,41500,401000,125000,77700
2021-11-16,2997.21,71300,206500,84200,42200,405500,127500,78600
2021-11-15,2999.52,71400,209000,86500,42950,411000,129000,79700
2021-11-12,2968.8,70600,208000,86800,42550,409000,127000,79300
2021-11-11,2924.92,69900,205000,83900,41900,407000,125500,78800
2021-11-10,2930.17,70200,208500,85500,42750,414500,124000,80200
2021-11-09,2962.46,70500,213000,87000,44200,417500,125500,81400
2021-11-08,2960.2,70600,215000,88100,44300,408000,125000,80800
2021-11-05,2969.27,70200,215000,88000,43950,410500,128500,79300
2021-11-04,2983.22,70600,214000,87000,44350,411500,130000,80900
2021-11-03,2975.71,70400,208500,85000,44750,402500,124500,80900
2021-11-02,3013.49,71500,210000,86000,45400,410000,128000,83700
2021-11-01,2978.94,69900,208000,84300,45050,408500,125500,80900
2021-10-29,2970.68,69800,208000,85100,44650,407000,125500,82800
2021-10-28,3009.55,70700,210000,86000,45350,413000,125500,83700
2021-10-27,3025.49,70100,213500,85000,46500,414500,128500,85400
2021-10-26,3049.08,71100,213500,84800,47300,412500,127500,85600
2021-10-25,3020.54,70200,211000,84300,47450,402500,126000,86400
2021-10-22,3006.16,70400,207500,83400,46700,407500,127500,82400
2021-10-21,3007.33,70200,207500,83600,46250,410500,128000,82300
2021-10-20,3013.13,70300,209000,83800,46750,407500,128000,83300
2021-10-19,3029.04,70600,209000,84300,46850,407500,127500,83400
2021-10-18,3006.68,70200,209500,84200,46900,396500,121500,84400
2021-10-15,3015.06,70100,208500,83800,46750,393500,122000,84100
2021-10-14,2988.64,69400,209000,84100,45800,395000,121500,83400
2021-10-13,2944.41,68800,211000,84200,44500,382000,117000,83800
2021-10-12,2916.38,69000,204500,82200,44250,372000,113500,82500
2021-10-08,2956.3,71500,205000,81900,47050,388500,117500,83000
2021-10-07,2959.46,71600,201000,79800,47250,393500,119500,81700
2021-10-06,2908.31,71300,194000,74700,45800,373000,113000,81000
2021-10-05,2962.17,72200,193500,77800,46100,370500,111000,81800
2021-10-01,3019.18,73200,193500,78300,43100,382000,116500,78000
2021-09-30,3068.82,74100,200000,81200,44500,388000,118000,79900
2021-09-29,3060.27,74100,201500,81400,44300,387000,116500,79400
2021-09-28,3097.92,76300,201500,80100,45050,392500,117500,80300
2021-09-27,3133.64,77700,204000,82100,45700,403000,120000,81600
2021-09-24,3125.24,77300,207000,82600,45950,405500,119500,82400
2021-09-23,3127.58,77400,208500,84200,46150,400000,115000,81600
2021-09-17,3140.51,77200,209000,84100,47150,403000,119500,81900
2021-09-16,3130.09,76100,208000,84500,47400,402000,121500,82000
2021-09-15,3153.4,77000,209500,83300,48050,400500,122500,82500
2021-09-14,3148.83,76600,209000,83400,48300,402500,124000,83100
2021-09-13,3127.86,76300,205000,82600,48250,408000,124500,81500
2021-09-10,3125.76,75300,206500,82500,47500,410000,130000,81500
2021-09-09,3114.7,75300,208500,86000,46800,399000,128500,81100
2021-09-08,3162.99,76300,213000,87400,48100,409500,138500,82200
2021-09-07,3187.42,76100,212500,86000,49300,444500,154000,81900
2021-09-06,3203.33,77300,215000,86200,48250,454000,155500,81400
2021-09-03,3201.06,76600,214500,85900,48200,452500,156500,81700
2021-09-02,3175.85,76000,211500,83800,48450,442500,155000,81800
2021-09-01,3207.02,76800,215000,85800,48850,445000,154000,81400
2021-08-31,3199.27,76700,212500,85100,48250,439000,155000,80800
2021-08-30,3144.19,74600,210000,82600,48550,428000,151500,80400
2021-08-27,3133.9,74300,208500,82100,48100,420000,150000,79900
2021-08-26,3128.53,74600,210000,82000,47750,423500,149500,79600
2021-08-25,3146.81,75700,209500,81600,47750,430500,151000,79100
2021-08-24,3138.3,75600,209500,81200,47800,437500,149000,79300
2021-08-23,3090.21,73300,204000,80000,46100,429500,148500,77700
2021-08-20,3060.51,72700,201500,79400,45650,422500,144000,75700
2021-08-19,3097.83,73100,206500,80400,46450,424500,146500,77100
2021-08-18,3158.93,73900,212500,83200,49300,429000,145500,80200
2021-08-17,3143.09,74200,213000,83200,49500,428500,142000,80100
2021-08-13,3171.29,74400,217000,85200,50000,436500,146000,80100
2021-08-12,3208.38,77000,219000,86600,51300,440500,147500,79600
2021-08-11,3220.62,78500,218500,83100,51400,445000,144000,80200
2021-08-10,3243.19,80200,219000,84200,51300,446500,146500,79900
2021-08-09,3260.42,81500,221000,86200,53100,447500,148000,80200
2021-08-06,3270.36,81500,222500,85600,54600,444500,145500,80900
2021-08-05,3276.13,82100,223000,85700,54000,442500,149000,81000
2021-08-04,3280.38,82900,225000,87000,54000,433000,149500,81300
2021-08-03,3237.14,81400,223500,85800,53200,428000,144000,79400
2021-08-02,3223.04,79300,220000,84700,54300,433500,146000,79600
2021-07-30,3202.32,78500,218000,83600,54900,433500,147000,80000
2021-07-29,3242.65,79000,222000,86300,55700,439500,148500,81200
2021-07-28,3236.86,79200,222500,86100,55400,442000,148000,81000
2021-07-27,3232.53,78500,225000,86400,56100,452000,148000,81000
2021-07-26,3224.95,78800,224500,85900,55200,452000,147500,80500
2021-07-23,3254.42,79300,225500,86400,55300,452000,149500,81700
2021-07-22,3250.21,79700,228500,87400,55100,440000,147500,82000
2021-07-21,3215.91,78500,228000,87100,55100,428000,145000,81000
2021-07-20,3232.7,79000,227000,87100,54500,439000,152000,81800
2021-07-19,3244.04,79000,227500,85800,54900,443000,154000,82200
2021-07-16,3276.91,79800,230000,87100,55900,447000,157000,83100
2021-07-15,3286.22,80600,231500,88200,55900,449000,159500,83500
2021-07-14,3264.81,79500,230000,87600,55200,444000,162000,83100
2021-07-13,3271.38,79800,230000,87900,55600,441000,161000,83700
2021-07-12,3246.47,79700,230000,87700,55300,418500,162000,82300
2021-07-09,3217.95,79400,226000,86000,54400,415500,160500,81800
2021-07-08,3252.68,79900,229500,86900,56000,422000,163000,81800
2021-07-07,3285.34,80800,232000,87800,57400,417500,161000,83500
2021-07-06,3305.21,81200,236000,88700,58000,409500,157500,86500
2021-07-05,3293.21,80400,236000,88900,57000,410000,157000,85900
2021-07-02,3281.78,80000,239000,90000,57300,414000,159500,86700
2021-07-01,3282.06,80100,242000,90500,58000,413000,160000,86800
2021-06-30,3296.68,80700,239500,89600,58000,417500,163000,87400
2021-06-29,3286.68,81000,239500,89500,57800,411500,158000,88400
2021-06-28,3301.89,81900,241000,89500,57700,408000,155000,88100
2021-06-25,3302.84,81600,243000,90700,57900,410000,154500,89200
2021-06-24,3286.1,81200,242500,90600,57000,419500,157000,86000
2021-06-23,3276.19,80100,242500,90200,57500,423500,169500,86300
2021-06-22,3263.88,80000,241000,89800,58500,391000,159000,87400
2021-06-21,3240.79,79900,233000,87400,58400,397000,155000,86000
2021-06-18,3267.93,80500,235000,88500,60000,398000,155000,86600
2021-06-17,3264.96,80900,236500,87600,60300,389500,148000,87600
2021-06-16,3278.68,81800,239500,89100,60400,391000,143000,88200
2021-06-15,3258.63,80900,237000,88400,60200,387000,144500,88500
